"Enabled","Activado"
"Title","Título"
"Campaigns","Campañas"
"The campaign applies to all products from your catalogue","La campaña aplica a todo el catálogo de productos"
"Associate products to selected campaigns","Asociar productos a las campañas seleccionadas"
"Remove products from selected campaigns","Eliminar productos de las campañas seleccionadas"
"Aplazame","Aplazame"
"Test Mode (Sandbox)","Modo de pruebas (Sandbox)"
"Private API Key","Clave API privada"
"Show/hide alternative widget if Aplazame is not available","Muestra/oculta el widget alternativo si Aplazame no está disponible"
"Show widget legacy instead new widget","Mostrar el widget legacy en lugar del nuevo widget"
"Show widget","Mostrar el widget"
"Show downpayment info","Mostrar pago inicial"
"Show legal notice","Mostrar texto legal"
"Force pay in 4 widget","Forzar widget paga en 4"
"If not available, the standard widget will be displayed","Si no está disponible, se mostrará el widget estándar"
"Select the default number instalments","Elige el número de cuotas a mostrar"
"CSS price selector","Selector CSS del precio"
"Show border","Mostrar marco"
"Only new widget","Sólo nuevo widget"
"Enter maximum instalment","Introducir cuota máxima"
"Primary color hexadecimal code","Código hexadecimal del color principal"
"Layout","Disposición"
"Alignment","Alineación"
"Use 'order' ID on Aplazame","Usar 'order' en Aplazame"
"Change Aplazame's internal ID from 'quote' to 'order' when an order is confirmed, the 'order_' prefix will be used to avoid DB problems with duplicate numeric IDs","Cambia el ID interno de Aplazame de 'quote' a 'order' cuando un pedido se confirma, se usará el prefijo 'order_' para evitar problemas en base de datos con identificadores numéricos duplicados"
"Aplazame Button CSS Selector","Selector CSS del botón de Aplazame"
"Automatic invoice generation","Facturar automáticamente"
"Aplazame Campaigns","Campañas Aplazame"
"Show","Mostrar"
"Hide","Ocultar"
"Left","Izquierda"
"Center","Centro"
"Right","Derecha"
