"Enabled","Activado"
"Title","Título"
"Campaigns","Campañas"
"The campaign applies to all products from your catalogue","La campaña aplica a todo el catálogo de productos"
"Associate products to selected campaigns","Asociar productos a las campañas seleccionadas"
"Remove products from selected campaigns","Eliminar productos de las campañas seleccionadas"
"Aplazame","Aplazame"
"Test Mode (Sandbox)","Modo de pruebas (Sandbox)"
"Private API Key","Clave API privada"
"Widget if Aplazame is not available","Widget si Aplazame no está disponible"
"Show/hide alternative widget if Aplazame is not available","Muestra/oculta el widget alternativo si Aplazame no está disponible"
"Widget version","Versión del widget"
"Show widget","Mostrar el widget"
"Show slider","Mostrar barra deslizante"
"Small size","Tamaño pequeño"
"Show downpayment info","Mostrar pago inicial"
"Show legal notice","Mostrar texto legal"
"Force pay in 4 widget","Forzar widget paga en 4"
"If not available, the standard widget will be displayed","Si no está disponible, se mostrará el widget estándar"
"Default instalments","Cuotas por defecto"
"Select the default number instalments","Elige el número de cuotas a mostrar"
"CSS price selector","Selector CSS del precio"
"Show border","Mostrar marco"
"Only v4","Sólo v4"
"Only v5","Sólo v5"
"Only v4/v5","Sólo v4/v5"
"Enter maximum instalment","Introducir cuota máxima"
"Primary color","Color principal"
"Hexadecimal code, only v4","Código hexadecimal, sólo v4"
"Layout","Disposición"
"Alignment","Alineación"
"Use 'order' ID on Aplazame","Usar 'order' en Aplazame"
"Change Aplazame's internal ID from 'quote' to 'order' when an order is confirmed, the 'order_' prefix will be used to avoid DB problems with duplicate numeric IDs","Cambia el ID interno de Aplazame de 'quote' a 'order' cuando un pedido se confirma, se usará el prefijo 'order_' para evitar problemas en base de datos con identificadores numéricos duplicados"
"Button Selector","Selector del botón"
"Aplazame payment button CSS selector","Selector CSS del botón de pago con Aplazame"
"Automatic invoice generation","Facturar automáticamente"
"Aplazame Campaigns","Campañas Aplazame"
"Show","Mostrar"
"Hide","Ocultar"
"Left","Izquierda"
"Center","Centro"
"Right","Derecha"
